id;name;geoid;geoname;DM;datetime;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.8;2015-01-10T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;44.39;2015-01-11T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.88;2015-01-11T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.41;2015-01-11T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.41;2015-01-11T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;38.4;2015-01-11T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;37;2015-01-11T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;37;2015-01-11T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;37.59;2015-01-11T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;38.5;2015-01-11T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;41.5;2015-01-11T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43;2015-01-11T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.39;2015-01-11T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;40.8;2015-01-11T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;42.88;2015-01-11T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;42;2015-01-11T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.2;2015-01-11T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.54;2015-01-11T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.39;2015-01-11T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.32;2015-01-11T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.2;2015-01-11T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;68.03;2015-01-11T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.92;2015-01-11T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.82;2015-01-11T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.82;2015-01-11T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.96;2015-01-12T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45.34;2015-01-12T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;41.3;2015-01-12T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;41;2015-01-12T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;41.01;2015-01-12T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.05;2015-01-12T05:00:00;;;;;;;
